# Title: Global Land and Ocean August Average Temperature Anomalies,
# Units: Degrees Celsius,
# Base Period: 1901-2000,
# Missing: -999,
Year,Anomaly
1850,0
1851,0.1
1852,0.13
1853,0.02
1854,-0.06
1855,-0.1
1856,-0.27
1857,-0.17
1858,-0.14
1859,-0.02
1860,-0.16
1861,-0.14
1862,-0.28
1863,-0.21
1864,-0.22
1865,0.03
1866,-0.18
1867,-0.05
1868,-0.02
1869,-0.16
1870,-0.03
1871,-0.09
1872,-0.02
1873,-0.05
1874,-0.21
1875,-0.17
1876,-0.18
1877,0.14
1878,0.09
1879,-0.17
1880,-0.04
1881,-0.09
1882,-0.12
1883,-0.24
1884,-0.31
1885,-0.19
1886,-0.23
1887,-0.26
1888,-0.09
1889,-0.1
1890,-0.33
1891,-0.17
1892,-0.28
1893,-0.24
1894,-0.17
1895,-0.11
1896,-0.02
1897,-0.03
1898,-0.15
1899,-0.04
1900,-0.08
1901,-0.12
1902,-0.21
1903,-0.41
1904,-0.44
1905,-0.25
1906,-0.2
1907,-0.27
1908,-0.43
1909,-0.33
1910,-0.31
1911,-0.4
1912,-0.45
1913,-0.24
1914,-0.21
1915,-0.11
1916,-0.21
1917,-0.2
1918,-0.27
1919,-0.35
1920,-0.23
1921,-0.15
1922,-0.32
1923,-0.36
1924,-0.35
1925,-0.22
1926,-0.17
1927,-0.06
1928,-0.21
1929,-0.23
1930,-0.13
1931,0.01
1932,-0.26
1933,-0.24
1934,-0.08
1935,-0.11
1936,-0.02
1937,0.08
1938,-0.02
1939,0.08
1940,0.05
1941,0.23
1942,0.05
1943,0.03
1944,0.17
1945,0.35
1946,-0.14
1947,-0.08
1948,-0.04
1949,-0.08
1950,-0.09
1951,0.1
1952,0.07
1953,0.04
1954,-0.11
1955,0.04
1956,-0.25
1957,0.16
1958,0.02
1959,0.05
1960,0.05
1961,0.06
1962,0
1963,0.2
1964,-0.12
1965,-0.02
1966,-0.02
1967,0.03
1968,-0.01
1969,0.06
1970,-0.05
1971,0
1972,0.21
1973,0.1
1974,0.11
1975,-0.09
1976,-0.04
1977,0.23
1978,-0.07
1979,0.21
1980,0.28
1981,0.35
1982,0.11
1983,0.37
1984,0.21
1985,0.17
1986,0.2
1987,0.31
1988,0.41
1989,0.33
1990,0.35
1991,0.42
1992,0.11
1993,0.18
1994,0.24
1995,0.53
1996,0.45
1997,0.47
1998,0.71
1999,0.38
2000,0.44
2001,0.54
2002,0.56
2003,0.64
2004,0.49
2005,0.6
2006,0.71
2007,0.57
2008,0.53
2009,0.71
2010,0.65
2011,0.7
2012,0.67
2013,0.69
2014,0.82
2015,0.84
2016,1
2017,0.87
2018,0.82
2019,0.94
2020,0.9
2021,0.88
2022,0.92
2023,1.26
2024,1.27
